2021-03-04
Országos oltási statisztika:

1007,Budapest,Margitsziget {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1067,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1068,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1071,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1072,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1073,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1074,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1075,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1076,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1077,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1078,Budapest,VII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1081,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1082,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1083,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1084,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1085,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1086,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1087,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1088,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1089,Budapest,VIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1091,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1092,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1093,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1094,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1095,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1096,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1097,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1098,Budapest,IX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1101,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1102,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1103,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1104,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1105,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1106,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1107,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1108,Budapest,X. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1111,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1112,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1113,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1114,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1115,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1116,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1117,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1118,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1119,Budapest,XI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1121,Budapest,XII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1122,Budapest,XII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1123,Budapest,XII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1124,Budapest,XII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1125,Budapest,XII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1126,Budapest,XII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1131,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1132,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1133,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1134,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1135,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1136,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1137,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1138,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1139,Budapest,XIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1141,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1142,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1143,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1144,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1145,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1146,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1147,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1148,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1149,Budapest,XIV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1151,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1152,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1153,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1154,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1155,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1156,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1157,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1158,Budapest,XV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1161,Budapest,XVI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1162,Budapest,XVI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1163,Budapest,XVI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1164,Budapest,XVI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1165,Budapest,XVI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1171,Budapest,XVII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1172,Budapest,XVII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1173,Budapest,XVII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1174,Budapest,XVII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1181,Budapest,XVIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1182,Budapest,XVIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1183,Budapest,XVIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1184,Budapest,XVIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1185,Budapest,XVIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1186,Budapest,XVIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1188,Budapest,XVIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1191,Budapest,XIX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1192,Budapest,XIX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1193,Budapest,XIX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1194,Budapest,XIX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1195,Budapest,XIX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1196,Budapest,XIX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1201,Budapest,XX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1202,Budapest,XX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1203,Budapest,XX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1204,Budapest,XX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1205,Budapest,XX. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1211,Budapest,XXI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1212,Budapest,XXI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1213,Budapest,XXI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1214,Budapest,XXI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1215,Budapest,XXI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1221,Budapest,XXII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1222,Budapest,XXII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1223,Budapest,XXII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1224,Budapest,XXII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1225,Budapest,XXII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1237,Budapest,XXIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1238,Budapest,XXIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1239,Budapest,XXIII. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2000,Szentendre, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2009,Pilisszentlászló, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2011,Budakalász, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2013,Pomáz, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2014,Csobánka, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2015,Szigetmonostor, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2016,Leányfalu, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2017,Pócsmegyer, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2021,Tahitótfalu,Tótfalu {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2022,Tahitótfalu,Tahi {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2023,Dunabogdány, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2024,Kisoroszi, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2025,Visegrád, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2026,Visegrád,Gizellatelep {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2027,Dömös, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2028,Pilismarót, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2030,Érd, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2038,Sóskút, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2039,Pusztazámor, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2040,Budaörs,  {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2045,Törökbálint, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2049,Diósd, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2051,Biatorbágy, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2053,Herceghalom, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2060,Bicske,  {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2063,Óbarok, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2064,Csabdi, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2065,Mány, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2066,Szár, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2066,Újbarok, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2067,Szárliget, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2071,Páty, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2072,Zsámbék, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2073,Tök, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2074,Perbál, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2080,Pilisjászfalu , {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2081,Piliscsaba , {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2083,Solymár, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2084,Pilisszentiván, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2085,Pilisvörösvár, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2086,Tinnye, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2089,Telki, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2090,Remeteszőlős, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2091,Etyek, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2092,Budakeszi, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2093,Budajenő, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2094,Nagykovácsi, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2095,Pilisszántó, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2096,Üröm, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2097,Pilisborosjenő, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2098,Pilisszentkereszt, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2099,Pilisszentkereszt,Dobogókő {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2100,Gödöllő,  {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2111,Szada, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2112,Veresegyház, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2113,Erdőkertes, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2114,Valkó, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2115,Vácszentlászló, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2116,Zsámbok, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2117,Isaszeg, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2118,Dány, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2119,Pécel, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2120,Dunakeszi, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2131,Göd,Alsógöd {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2132,Göd,Felsőgöd {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2133,Sződliget, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2134,Sződ, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2135,Csörög, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2141,Csömör, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2142,Nagytarcsa, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2143,Kistarcsa, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2144,Kerepes , {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2145,Kerepes ,Szilasliget {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2146,Mogyoród, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2151,Fót, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2161,Csomád, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2162,Őrbottyán, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2163,Vácrátót, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2164,Váchartyán, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2165,Kisnémedi, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2166,Püspökszilágy, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2167,Vácduka, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2170,Aszód, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2173,Kartal, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2174,Verseg, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2175,Kálló, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2176,Erdőkürt, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2177,Erdőtarcsa, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2181,Iklad, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2182,Domony, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2183,Galgamácsa, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2184,Vácegres, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2185,Váckisújfalu, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2191,Bag, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2192,Hévízgyörk, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2193,Galgahévíz, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
2194,Tura, {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
